"Global X Silver Miners ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
11/03/2017,31.36,-0.56,-1.75,0.11,0.34
11/02/2017,31.92,-0.19,-0.59,0.04,0.12
11/01/2017,32.11,0.11,0.34,0.07,0.22
10/31/2017,32,-0.28,-0.87,0.04,0.11
10/30/2017,32.28,0.28,0.88,0.04,0.13
10/27/2017,32,0.08,0.25,0.13,0.40
10/26/2017,31.92,-0.83,-2.53,0.02,0.06
10/25/2017,32.75,-0.44,-1.33,0.11,0.32
10/24/2017,33.19,-0.32,-0.95,0.14,0.41
10/23/2017,33.51,0.19,0.57,0.17,0.51
10/20/2017,33.32,-0.37,-1.10,0.10,0.29
10/19/2017,33.69,0.35,1.05,0.02,0.06
10/18/2017,33.34,-0.22,-0.66,0.08,0.24
10/17/2017,33.56,-0.07,-0.21,0.22,0.67
10/16/2017,33.63,-0.65,-1.90,-0.09,-0.26
10/13/2017,34.28,-0.08,-0.23,-0.01,-0.03
10/12/2017,34.36,0.01,0.03,0.04,0.11
10/11/2017,34.35,0.25,0.73,0.15,0.42
10/10/2017,34.1,-0.23,-0.67,-0.01,-0.02
10/09/2017,34.33,0.38,1.12,0.15,0.44
10/06/2017,33.95,0.26,0.77,0.12,0.36
10/05/2017,33.69,-0.23,-0.68,-0.07,-0.20
10/04/2017,33.92,0.37,1.10,0.09,0.25
10/03/2017,33.55,0.44,1.33,0.11,0.33
10/02/2017,33.11,0.16,0.49,0.03,0.10
09/29/2017,32.95,-0.07,-0.21,0.01,0.02
09/28/2017,33.02,0.06,0.18,0.09,0.28
09/27/2017,32.96,-0.37,-1.11,0.01,0.04
09/26/2017,33.33,-0.57,-1.68,0.08,0.24
09/25/2017,33.9,0.44,1.32,0.12,0.37
09/22/2017,33.46,0.52,1.58,0.09,0.28
09/21/2017,32.94,-0.30,-0.90,0.09,0.27
09/20/2017,33.24,-0.30,-0.89,-0.09,-0.27
09/19/2017,33.54,0.23,0.69,0.04,0.10
09/18/2017,33.31,-0.76,-2.23,0.02,0.06
09/15/2017,34.07,-0.27,-0.79,0.07,0.20
09/14/2017,34.34,-0.02,-0.06,0.17,0.50
09/13/2017,34.36,-0.93,-2.64,0.08,0.23
09/12/2017,35.29,0.40,1.15,0.09,0.26
09/11/2017,34.89,-0.77,-2.16,-0.06,-0.18
09/08/2017,35.66,-0.61,-1.68,0.10,0.27
09/07/2017,36.27,0.84,2.37,0.03,0.09
09/06/2017,35.43,-0.43,-1.20,-0.03,-0.08
09/05/2017,35.86,0.70,1.99,0.05,0.14
09/01/2017,35.16,0.14,0.40,0.09,0.24
08/31/2017,35.02,0.38,1.10,0.20,0.57
08/30/2017,34.64,-0.27,-0.77,0.07,0.21
08/29/2017,34.91,-0.13,-0.37,-0.02,-0.05
08/28/2017,35.04,1.21,3.58,0.28,0.81
08/25/2017,33.83,-0.01,-0.03,0.11,0.31
08/24/2017,33.84,0.37,1.11,0.02,0.06
08/23/2017,33.47,0.28,0.84,0.11,0.34
08/22/2017,33.19,-0.32,-0.95,-0.03,-0.09
08/21/2017,33.51,0.31,0.93,0.06,0.19
08/18/2017,33.2,-0.10,-0.30,0.08,0.24
08/17/2017,33.3,-0.07,-0.21,-0.02,-0.06
08/16/2017,33.37,0.62,1.89,0.21,0.64
08/15/2017,32.75,-0.76,-2.27,0.09,0.27
08/14/2017,33.51,-0.30,-0.89,0.04,0.11
08/11/2017,33.81,-0.09,-0.27,0.18,0.52
08/10/2017,33.9,0.59,1.77,0.06,0.17
08/09/2017,33.31,0.66,2.02,0.12,0.38
08/08/2017,32.65,0.01,0.03,0.20,0.62
08/07/2017,32.64,-0.11,-0.34,0.04,0.13
08/04/2017,32.75,-1.16,-3.42,0.13,0.40
08/03/2017,33.91,-0.04,-0.12,0.03,0.09
08/02/2017,33.95,-0.32,-0.93,-0.05,-0.15
08/01/2017,34.27,-0.31,-0.90,-0.12,-0.35
07/31/2017,34.58,0.02,0.06,0.11,0.31
07/28/2017,34.56,0.46,1.35,0.08,0.24
07/27/2017,34.1,-0.74,-2.12,0.02,0.07
07/26/2017,34.84,1.17,3.47,0.36,1.05
07/25/2017,33.67,0.11,0.33,0.08,0.24
07/24/2017,33.56,-0.63,-1.84,0.06,0.18
07/21/2017,34.19,0.19,0.56,0.07,0.19
07/20/2017,34,0.18,0.53,-0.04,-0.12
07/19/2017,33.82,-0.20,-0.59,0.06,0.19
07/18/2017,34.02,0.21,0.62,0.12,0.35
07/17/2017,33.81,0.67,2.02,0.02,0.05
07/14/2017,33.14,0.76,2.35,0.04,0.11
07/13/2017,32.38,-0.42,-1.28,0.04,0.11
07/12/2017,32.8,0.16,0.49,0.11,0.34
07/11/2017,32.64,0.26,0.80,0.09,0.29
07/10/2017,32.38,0.63,1.98,0.01,0.04
07/07/2017,31.75,-0.58,-1.79,0.14,0.43
07/06/2017,32.33,-0.84,-2.53,0.10,0.29
07/05/2017,33.17,-0.87,-2.56,0.03,0.10
07/03/2017,34.04,0.13,0.38,0.78,2.33
06/30/2017,33.91,0.17,0.50,-0.03,-0.09
06/29/2017,33.74,-0.97,-2.79,-0.08,-0.25
06/28/2017,34.71,0.37,1.08,0.00,-0.01
06/27/2017,34.34,-0.18,-0.52,-0.03,-0.08
06/26/2017,34.52,-0.31,-0.89,-0.05,-0.15
06/23/2017,34.83,0.81,2.38,-0.04,-0.12
06/22/2017,34.02,0.47,1.40,-0.01,-0.04
06/21/2017,33.55,0.46,1.39,-0.01,-0.02
06/20/2017,33.09,-0.18,-0.54,-0.04,-0.13
06/19/2017,33.27,-0.50,-1.48,-0.15,-0.46
06/16/2017,33.77,0.19,0.57,0.15,0.43
06/15/2017,33.58,-0.54,-1.58,0.04,0.13
06/14/2017,34.12,-1.29,-3.64,-0.42,-1.22
06/13/2017,35.41,0.46,1.32,0.10,0.29
06/12/2017,34.95,-0.52,-1.47,0.07,0.21
06/09/2017,35.47,-0.59,-1.64,-0.11,-0.30
06/08/2017,36.06,-0.18,-0.50,0.03,0.09
06/07/2017,36.24,-0.36,-0.98,-0.13,-0.35
06/06/2017,36.6,1.41,4.01,0.01,0.04
06/05/2017,35.19,0.02,0.06,0.04,0.11
06/02/2017,35.17,0.19,0.54,0.00,0.01
06/01/2017,34.98,-0.04,-0.11,0.02,0.05
05/31/2017,35.02,-0.25,-0.71,0.06,0.19
05/30/2017,35.27,-0.64,-1.78,0.06,0.16
05/26/2017,35.91,0.26,0.73,0.09,0.26
05/25/2017,35.65,-0.21,-0.59,-0.01,-0.04
05/24/2017,35.86,0.30,0.84,0.22,0.62
05/23/2017,35.56,-1.07,-2.92,-0.07,-0.21
05/22/2017,36.63,0.36,0.99,0.12,0.33
05/19/2017,36.27,0.43,1.20,0.12,0.34
05/18/2017,35.84,-0.99,-2.69,-0.04,-0.11
05/17/2017,36.83,0.50,1.38,0.03,0.08
05/16/2017,36.33,0.77,2.17,0.08,0.22
05/15/2017,35.56,0.20,0.57,0.00,0.01
05/12/2017,35.36,0.38,1.09,-0.03,-0.07
05/11/2017,34.98,1.19,3.52,0.05,0.15
05/10/2017,33.79,0.60,1.81,-0.01,-0.02
05/09/2017,33.19,0.16,0.48,0.00,0.01
05/08/2017,33.03,-0.31,-0.93,-0.05,-0.14
05/05/2017,33.34,0.88,2.71,0.06,0.19
05/04/2017,32.46,-1.17,-3.48,-0.04,-0.14
05/03/2017,33.63,-0.28,-0.83,-0.16,-0.47
05/02/2017,33.91,-0.08,-0.24,-0.03,-0.09
05/01/2017,33.99,-0.85,-2.44,-0.28,-0.82
04/28/2017,34.84,0.64,1.87,-0.03,-0.09
