"Global X MSCI China Materials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
07/12/2017,17.83,0.29,1.65,0.24,1.36
07/11/2017,17.54,-0.08,-0.45,0.02,0.09
07/10/2017,17.62,0.03,0.17,0.12,0.71
07/07/2017,17.59,0.14,0.80,-0.01,-0.08
07/06/2017,17.45,0.00,0.00,-0.06,-0.32
07/05/2017,17.45,0.36,2.11,0.00,-0.02
07/03/2017,17.09,0.01,0.06,-0.36,-2.07
06/30/2017,17.08,0.32,1.91,-0.01,-0.05
06/29/2017,16.76,0.05,0.30,-0.18,-1.06
06/28/2017,16.71,0.26,1.58,0.07,0.43
06/27/2017,16.45,-0.08,-0.48,-0.09,-0.56
06/26/2017,16.53,0.13,0.79,-0.02,-0.12
06/23/2017,16.4,-0.11,-0.67,-0.04,-0.27
06/22/2017,16.51,-0.03,-0.18,-0.03,-0.20
06/21/2017,16.54,0.06,0.36,-0.11,-0.68
06/20/2017,16.48,-0.06,-0.36,-0.17,-1.01
06/19/2017,16.54,0.16,0.98,-0.03,-0.19
06/16/2017,16.38,0.01,0.06,-0.10,-0.59
06/15/2017,16.37,-0.26,-1.56,-0.07,-0.40
06/14/2017,16.63,-0.04,-0.24,-0.07,-0.39
06/13/2017,16.67,0.32,1.96,-0.03,-0.20
06/12/2017,16.35,-0.10,-0.61,-0.03,-0.20
06/09/2017,16.45,-0.16,-0.96,-0.08,-0.48
06/08/2017,16.61,0.04,0.24,0.00,-0.02
06/07/2017,16.57,0.31,1.91,0.01,0.06
06/06/2017,16.26,0.13,0.81,0.02,0.11
06/05/2017,16.13,-0.13,-0.80,-0.02,-0.14
06/02/2017,16.26,0.13,0.81,0.00,-0.01
06/01/2017,16.13,0.15,0.94,-0.13,-0.79
05/31/2017,15.98,-0.26,-1.60,-0.09,-0.59
05/30/2017,16.24,-0.08,-0.49,-0.02,-0.12
05/26/2017,16.32,-0.08,-0.49,0.02,0.10
05/25/2017,16.4,0.20,1.23,0.08,0.47
05/24/2017,16.2,0.00,0.00,-0.01,-0.06
05/23/2017,16.2,-0.14,-0.86,-0.04,-0.22
05/22/2017,16.34,0.17,1.05,0.02,0.11
05/19/2017,16.17,0.25,1.57,-0.01,-0.06
05/18/2017,15.92,-0.06,-0.38,-0.01,-0.05
05/17/2017,15.98,-0.11,-0.68,-0.14,-0.85
05/16/2017,16.09,0.03,0.19,0.03,0.20
05/15/2017,16.06,0.08,0.50,0.04,0.24
05/12/2017,15.98,0.06,0.38,0.06,0.35
05/11/2017,15.92,-0.08,-0.50,-0.02,-0.13
05/10/2017,16,-0.11,-0.68,0.04,0.25
05/09/2017,16.11,0.25,1.58,0.04,0.23
05/08/2017,15.86,-0.05,-0.31,-0.03,-0.19
05/05/2017,15.91,-0.20,-1.24,0.00,0.02
05/04/2017,16.11,-0.38,-2.30,-0.15,-0.93
05/03/2017,16.49,-0.01,-0.06,-0.05,-0.29
05/02/2017,16.5,-0.02,-0.12,-0.04,-0.23
05/01/2017,16.52,0.15,0.92,0.10,0.59
04/28/2017,16.37,0.01,0.06,-0.07,-0.45
04/27/2017,16.36,-0.25,-1.51,0.00,-0.00
04/26/2017,16.61,-0.06,-0.36,0.10,0.61
04/25/2017,16.67,0.23,1.40,0.08,0.47
04/24/2017,16.44,-0.22,-1.32,0.03,0.20
04/21/2017,16.66,0.05,0.30,0.07,0.43
04/20/2017,16.61,0.05,0.30,0.17,1.06
04/19/2017,16.56,-0.01,-0.06,0.08,0.48
04/18/2017,16.57,-0.46,-2.70,0.06,0.36
04/17/2017,17.03,0.05,0.29,0.09,0.56
04/13/2017,16.98,-0.06,-0.35,0.04,0.26
04/12/2017,17.04,-0.09,-0.53,-0.01,-0.08
04/11/2017,17.13,-0.03,-0.17,0.11,0.63
04/10/2017,17.16,-0.13,-0.75,0.05,0.27
04/07/2017,17.29,0.10,0.58,0.02,0.12
04/06/2017,17.19,-0.13,-0.75,0.08,0.47
04/05/2017,17.32,0.12,0.70,0.05,0.28
04/04/2017,17.2,0.07,0.41,0.19,1.11
04/03/2017,17.13,0.45,2.70,0.12,0.70
03/31/2017,16.68,0.05,0.30,0.07,0.44
03/30/2017,16.63,-0.02,-0.12,0.08,0.50
03/29/2017,16.65,-0.01,-0.06,0.02,0.10
03/28/2017,16.66,0.21,1.28,0.13,0.78
03/27/2017,16.45,-0.50,-2.95,0.16,0.96
03/24/2017,16.95,-0.27,-1.57,0.10,0.57
03/23/2017,17.22,0.17,1.00,0.20,1.16
03/22/2017,17.05,-0.12,-0.70,0.15,0.90
03/21/2017,17.17,-0.17,-0.98,-0.06,-0.37
03/20/2017,17.34,-0.04,-0.23,0.08,0.48
03/17/2017,17.38,-0.30,-1.70,-0.01,-0.08
03/16/2017,17.68,0.23,1.32,0.10,0.56
03/15/2017,17.45,0.46,2.71,0.37,2.16
03/14/2017,16.99,-0.21,-1.22,0.05,0.28
03/13/2017,17.2,0.47,2.81,0.16,0.91
03/10/2017,16.73,-0.07,-0.42,0.11,0.67
03/09/2017,16.8,-0.52,-3.00,0.04,0.22
03/08/2017,17.32,0.11,0.64,0.12,0.67
03/07/2017,17.21,-0.11,-0.64,0.03,0.19
03/06/2017,17.32,-0.05,-0.29,0.16,0.92
03/03/2017,17.37,0.09,0.52,0.38,2.25
03/02/2017,17.28,-0.21,-1.20,0.02,0.14
03/01/2017,17.49,0.37,2.16,0.20,1.15
02/28/2017,17.12,0.10,0.59,0.02,0.11
02/27/2017,17.02,-0.03,-0.18,-0.05,-0.29
02/24/2017,17.05,-0.52,-2.96,0.03,0.16
02/23/2017,17.57,-0.24,-1.35,0.11,0.60
02/22/2017,17.81,0.74,4.34,0.22,1.23
02/21/2017,17.07,0.29,1.73,0.09,0.53
02/17/2017,16.78,-0.11,-0.65,0.05,0.28
02/16/2017,16.89,-0.16,-0.94,0.07,0.41
02/15/2017,17.05,-0.24,-1.39,0.21,1.25
02/14/2017,17.29,0.09,0.52,0.36,2.10
02/13/2017,17.2,0.47,2.81,0.24,1.41
02/10/2017,16.73,0.01,0.06,0.02,0.12
02/09/2017,16.72,0.17,1.03,0.06,0.39
02/08/2017,16.55,0.17,1.04,-0.04,-0.25
02/07/2017,16.38,0.18,1.11,-0.02,-0.12
02/06/2017,16.2,-0.58,-3.46,-0.09,-0.54
02/03/2017,16.78,0.28,1.70,0.42,2.59
02/02/2017,16.5,-0.18,-1.08,0.01,0.06
02/01/2017,16.68,0.57,3.54,0.14,0.85
01/31/2017,16.11,-0.20,-1.23,-0.13,-0.79
01/30/2017,16.31,-0.18,-1.09,0.07,0.41
01/27/2017,16.49,0.06,0.37,0.25,1.53
01/26/2017,16.43,0.25,1.55,0.09,0.53
01/25/2017,16.18,0.06,0.37,0.07,0.44
01/24/2017,16.12,0.52,3.33,0.09,0.56
01/23/2017,15.6,0.26,1.69,0.03,0.19
01/20/2017,15.34,0.18,1.19,0.01,0.07
01/19/2017,15.16,-0.10,-0.66,-0.12,-0.80
01/18/2017,15.26,0.19,1.26,-0.02,-0.13
01/17/2017,15.07,0.15,1.01,0.00,-0.03
01/13/2017,14.92,0.00,0.00,-0.01,-0.07
01/12/2017,14.92,0.00,0.00,0.02,0.15
01/11/2017,14.92,0.35,2.40,-0.02,-0.16
01/10/2017,14.57,0.41,2.90,0.04,0.25
01/09/2017,14.16,0.03,0.21,-0.06,-0.39
01/06/2017,14.13,-0.14,-0.98,-0.02,-0.13
01/05/2017,14.27,0.21,1.49,0.05,0.32
01/04/2017,14.06,0.22,1.59,0.08,0.56
01/03/2017,13.84,0.08,0.58,-0.02,-0.11
12/30/2016,13.76,0.24,1.78,-0.10,-0.74
12/29/2016,13.52,0.05,0.37,-0.14,-1.03
12/28/2016,13.47,-0.10,-0.74,-0.17,-1.23
12/27/2016,13.57,0.01,0.07,-0.06,-0.47
