Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,42.369999,42.369999,41.505001,41.505001,41.505001,5400
2016-01-04,41.505001,41.505001,41.505001,41.505001,41.505001,0
2016-01-05,41.505001,41.505001,41.505001,41.505001,41.505001,0
2016-01-06,41.505001,41.505001,41.505001,41.505001,41.505001,0
2016-01-07,38.125000,39.044998,38.125000,39.044998,39.044998,1000
2016-01-08,38.285000,38.285000,38.285000,38.285000,38.285000,1400
2016-01-11,37.764999,37.915001,37.169998,37.299999,37.299999,2800
2016-01-12,37.965000,37.965000,36.869999,36.869999,36.869999,1200
2016-01-13,37.125000,37.165001,37.125000,37.165001,37.165001,400
2016-01-14,35.075001,36.134998,35.075001,36.134998,36.134998,1600
2016-01-15,34.000000,34.000000,33.810001,33.810001,33.810001,800
2016-01-19,33.825001,34.544998,33.755001,33.755001,33.755001,1400
2016-01-20,32.365002,32.365002,30.465000,30.840000,30.840000,1800
2016-01-21,33.650002,33.650002,33.255001,33.564999,33.564999,2400
2016-01-22,33.564999,33.564999,33.564999,33.564999,33.564999,0
2016-01-25,33.564999,33.564999,33.564999,33.564999,33.564999,0
2016-01-26,36.695000,36.695000,36.695000,36.695000,36.695000,800
2016-01-27,37.035000,37.500000,37.035000,37.500000,37.500000,1600
2016-01-28,37.500000,37.500000,37.500000,37.500000,37.500000,0
2016-01-29,37.500000,37.500000,37.500000,37.500000,37.500000,0
2016-02-01,38.375000,38.525002,38.195000,38.525002,38.525002,1200
2016-02-02,38.525002,38.525002,38.525002,38.525002,38.525002,0
2016-02-03,38.259998,38.259998,38.259998,38.259998,38.259998,400
2016-02-04,38.259998,38.259998,38.259998,38.259998,38.259998,0
2016-02-05,38.259998,38.259998,38.259998,38.259998,38.259998,0
2016-02-08,35.279999,35.345001,34.485001,34.709999,34.709999,2200
2016-02-09,33.709999,33.820000,33.165001,33.820000,33.820000,1400
2016-02-10,34.669998,34.669998,34.669998,34.669998,34.669998,400
2016-02-11,34.064999,35.080002,34.064999,35.080002,35.080002,600
2016-02-12,35.080002,35.080002,35.080002,35.080002,35.080002,0
2016-02-16,36.895000,37.435001,36.895000,37.415001,37.415001,600
2016-02-17,38.669998,38.669998,38.529999,38.529999,38.529999,400
2016-02-18,38.529999,38.529999,38.529999,38.529999,38.529999,0
2016-02-19,38.529999,38.529999,38.529999,38.529999,38.529999,0
2016-02-22,38.529999,38.529999,38.529999,38.529999,38.529999,0
2016-02-23,39.555000,39.560001,39.555000,39.560001,39.560001,400
2016-02-24,39.560001,39.560001,39.560001,39.560001,39.560001,0
2016-02-25,40.919998,41.755001,40.919998,41.755001,41.755001,600
2016-02-26,41.755001,41.755001,41.755001,41.755001,41.755001,0
2016-02-29,43.615002,43.615002,42.764999,43.314999,43.314999,2000
2016-03-01,43.314999,43.314999,43.314999,43.314999,43.314999,200
2016-03-02,44.794998,45.395000,44.794998,45.395000,45.395000,600
2016-03-03,45.395000,45.395000,45.395000,45.395000,45.395000,0
2016-03-04,45.875000,46.250000,45.220001,45.220001,45.220001,1600
2016-03-07,46.639999,46.810001,46.349998,46.349998,46.349998,3400
2016-03-08,45.299999,45.305000,45.299999,45.305000,45.305000,600
2016-03-09,45.305000,45.305000,45.305000,45.305000,45.305000,0
2016-03-10,45.139999,45.139999,45.139999,45.139999,45.139999,600
2016-03-11,45.139999,45.139999,45.139999,45.139999,45.139999,0
2016-03-14,45.139999,45.139999,45.139999,45.139999,45.139999,0
2016-03-15,45.139999,45.139999,45.139999,45.139999,45.139999,0
2016-03-16,44.000000,44.000000,44.000000,44.000000,44.000000,400
2016-03-17,44.494999,44.494999,44.494999,44.494999,44.494999,800
2016-03-18,45.235001,45.235001,45.235001,45.235001,45.235001,200
2016-03-21,45.235001,45.235001,45.235001,45.235001,45.235001,0
2016-03-22,45.235001,45.235001,45.235001,45.235001,45.235001,0
2016-03-23,45.235001,45.235001,45.235001,45.235001,45.235001,0
2016-03-24,45.235001,45.235001,45.235001,45.235001,45.235001,0
2016-03-28,45.775002,45.775002,44.689999,44.689999,44.689999,1400
2016-03-29,44.689999,44.689999,44.689999,44.689999,44.689999,0
