Date,XLB,IYM,IGE,VAW,PKB,XHB,ITB,GDX,XME,MXI,PYZ,SLX,RTM,UYM,SMN,FXZ,MOO,CUT,WOOD,HAP,PSAU,PAGG,FLM,GRES,GDXJ,CHIM,FTRI,FTAG,SBM,PSCM,SIL,COPX,LIT,GNR,REMX,GOEX,URA,NUGT,DUST,CROP,SOIL,GUNR,PICK,RING,SLVP,VEGI,SILJ,JNUG,JDST,FMAT,SGDM,GDXX,GDXS,HOML,SGDJ,NAIL,NANR,VOX,ERUS,IYZ,FCOM,IXP,XTL,WBIF,FONE,LTL
2015-05-01,47.317322,80.435165,37.193138,104.090691,23.094711,34.153278,25.877111,19.774666,26.689698999999997,55.101364000000004,52.417141,30.737789000000003,84.46174599999999,52.492718,52.64539,31.462961,51.506916,24.087175,50.544647,32.276333,16.640285000000002,27.737591,47.439194,26.320688,23.482360999999997,18.032754999999998,17.524391,45.452884999999995,23.905788,40.108456,25.341393,22.989225,23.59206,41.215571999999995,22.405109,13.751816,20.698997,98.655151,642.655396,26.163155,10.768482,28.568882000000002,28.492440999999996,16.04966,8.368428999999999,25.046158,7.187005999999999,42.854122,6517.568359000001,26.703062,18.024696,17.674385,79.839996,25.280001000000002,25.826151,,,78.912476,27.003969,28.207201,24.199886,55.783916000000005,55.994263000000004,23.937342,38.948883,45.086807
2015-06-01,46.7449,78.947182,34.960999,102.965889,23.68815,34.918694,26.339201,19.013725,25.192379000000003,53.621037,52.397926,28.200671999999997,83.664055,50.560101,54.402232999999995,31.186804,52.124474,24.013737,50.470234000000005,31.470102,16.100397,28.194294,46.74892,25.70455,23.988770000000002,18.313694,15.272751000000001,44.311806,24.363216,39.664848,25.683817,20.35944,23.001801,39.601704,20.946884,13.426476000000001,19.327377,86.651176,701.755859,26.814123,10.659064,27.420118,26.809193,15.253967000000001,8.549317,25.589842,7.339921,44.783058000000004,5907.041504,26.396769,17.093569,49.096621999999996,84.559998,25.82,26.525467,,,76.739288,24.763927,27.172659000000003,23.578938,54.485214,56.173134,23.775263,39.37627,41.383998999999996
2015-07-01,45.121798999999996,75.83091,33.064426,99.508484,23.591465,35.785336,27.197477000000003,16.867487,22.499872,51.296558000000005,51.310390000000005,26.033371,81.079971,46.616814,58.634624,30.274110999999998,51.211956,23.545578,49.541965000000005,30.147524,14.392337,28.050022,45.902634,24.375998000000003,21.756821,16.004728,14.312745999999999,38.382549,24.323441,38.127796000000004,23.543526,19.086996,21.23101,37.777229,18.046543,12.513026,16.316938,59.463379,976.895874,27.168324,10.577003,26.094620000000003,23.94998,13.535798000000002,7.687514,25.007019,6.747375,33.010601,7580.04248,25.517805,15.1529,12.738745,105.839996,29.32,23.815617,,,76.677704,24.317453,27.091894,23.486366,54.557281,54.543659,23.443268,37.189102,43.451603000000006
2015-08-01,42.617607,70.655281,30.462090000000003,94.068855,24.096149,36.444798,27.974833,13.413993,19.008028,48.414204,49.037205,23.143642,77.14460799999999,40.213829,66.999596,29.271975,49.460648,23.141676,47.935658000000004,28.245188,11.655084,26.566291999999997,45.159359,22.161749,18.136934,13.169003,11.99129,31.295818,26.879091,35.701912,19.120195000000002,15.863414,19.017526999999998,35.282242,15.637653,10.523455,14.535612,27.267297999999997,1704.973755,26.364190999999998,10.184923,24.159392999999998,21.345537,10.696391,6.148098,24.223513,5.533613,17.042219,11155.983398,24.137964,12.437922,7.8490649999999995,155.639999,29.309998999999998,19.454598999999998,,,76.044228,23.098045000000003,26.796815999999996,23.364582000000002,55.003181000000005,54.883736,23.705366,36.082962,38.145508
2015-09-01,38.991172999999996,64.080101,28.311932000000002,86.241302,23.304485,34.233677,26.59725,13.335948000000002,18.332186,43.384040999999996,45.010975,20.993547,71.618126,33.059284000000005,78.758461,27.429945,44.842724,21.397560000000002,44.121845,25.455092999999998,11.519671,23.824203,43.139145,21.044998,18.474541000000002,10.517644,10.821833,29.773829,28.609378999999997,32.551173999999996,18.891878,13.827454000000001,16.656475,31.494581,13.542966,11.16162,13.751826999999999,24.246429,1381.162964,23.884769,9.409883,21.685131,18.395042,10.560257,5.746512,21.798365,4.99841,15.908724,8206.426758,22.08684,12.614347,22.387220000000003,141.440002,26.48,20.289892000000002,,,71.900185,21.436825,25.662607,21.990195999999997,50.850182000000004,51.227965999999995,22.256857,33.613224,39.237801
2015-10-01,37.650421,61.65280500000001,26.988753999999997,82.727631,22.532619,33.624592,26.045679,13.082301,15.635142000000002,41.552353000000004,43.713485999999996,18.680042,68.261505,30.11157,84.348412,25.986542,42.188107,20.497963000000002,41.848583000000005,24.431452,11.471313,22.128942000000002,41.917698,20.303704999999997,17.977510000000002,10.84248,9.826061,26.01643,31.324135,30.479329999999997,18.178435999999998,12.300495,17.320520000000002,29.487748999999997,12.020288,11.086541,12.344582,21.464054,1310.639648,24.497444,8.680436,20.748447,17.375120000000003,10.210194,5.564842,20.091434,4.99841,14.031494,8107.31543,21.216528,12.094875,21.281197,138.83999599999999,24.35,19.085516000000002,,,70.549522,21.030354,24.716402,21.62286,49.293903,49.777157,21.967735,32.882934999999996,33.911392
2015-11-01,42.229659999999996,69.383026,29.941082,92.491745,23.868546,34.692347999999996,26.774364000000002,14.594423999999998,16.248472,45.513259999999995,48.846581,20.529127,75.778862,38.095764,65.44239,28.448227000000003,44.686023999999996,22.517469000000002,45.812698,26.560259000000002,12.699689,23.864732999999998,44.721115000000005,21.507101000000002,19.177885,11.825766,11.243535000000001,28.394533000000003,27.66468,33.425503000000006,19.748003,14.251609,19.109755,32.344315,12.938728,12.550564999999999,13.199617000000002,27.577334999999998,789.165039,26.268459000000004,9.072514,22.533451,18.558956,11.396519999999999,6.1289739999999995,21.630470000000003,5.944571,15.841110999999998,5760.356934,23.740738,13.908126000000001,25.705289999999998,102.32,24.6,20.678404,28.57478,,77.62984499999999,22.479507,27.692384999999998,23.776352,53.044716,54.54538,22.278643,35.994129,40.94318
2015-12-01,42.947788,70.488708,29.894665000000003,93.842407,25.234157999999997,35.672740999999995,28.527155,13.813973999999998,15.446426999999998,44.685753000000005,50.083939,19.385275,76.242195,39.149921,63.106590000000004,28.563168,45.257504,23.444603,48.734111999999996,26.134501,11.732462,23.324078,44.501793,21.150894,18.174446,11.114639,9.668567,24.351761,26.590712,32.844013000000004,18.872851999999998,12.140259,18.703948999999998,31.431301,12.656752000000001,11.593319000000001,12.487089,22.123875,852.7352289999999,26.794975,9.072514,21.923723000000003,16.537326999999998,10.676945,5.880374,21.667778,5.170439,13.017313,6412.509765999999,24.050402,13.124018,22.4102,109.32,27.040001,19.677994,33.040695,,77.331062,22.550196,27.710924,23.64451,52.555099,55.114151,22.339857000000002,36.11858,42.431778
2016-01-01,40.798336,67.084175,26.432228000000002,88.911835,23.566048000000002,33.236561,26.713039000000002,13.499532,14.253453,42.448345,47.482819,17.704304,72.585068,35.418056,68.51686099999999,27.056897999999997,44.10593,21.962339,45.291985,24.588163,11.384942,22.127617,42.277279,20.600618,18.145708,11.189198,8.591121000000001,20.065807,28.102221999999998,30.515257000000002,17.673597,11.26368,18.572848999999998,29.602589000000002,11.369117999999999,11.468349,12.711112,19.301748,820.453491,27.013718,8.521559,20.552441,15.515912,10.679210000000001,5.376475,21.147966,4.958308000000001,12.349148,5895.148926,22.891088,12.658942,20.731684,108.400002,22.620001000000002,18.854044000000002,28.391154999999998,23.023585999999998,76.551025,19.997061,26.726491999999997,23.534992000000003,51.63583,53.515221,22.187314999999998,34.908825,39.366238
2016-02-01,36.579440999999996,60.283501,24.741467999999998,80.066895,21.635214,29.531725,23.775591,14.414587,13.1475,38.487381,42.824963000000004,15.852160999999999,65.02550500000001,28.213053000000002,83.6297,24.986708,41.572845,19.567635,40.513428000000005,23.439972,12.334496000000001,20.667082,40.146209999999996,20.590733,18.589668,9.999647999999999,8.07901,18.433657,30.697653000000003,26.803154,17.644951000000002,9.403885,16.686905,27.546089000000002,10.063491,11.754534,11.657153,22.259017999999998,612.8568730000001,26.761523999999998,7.586264999999999,19.360859,13.617884,11.945905999999999,5.3286430000000005,19.819151,4.88985,12.691184,5086.398926,20.552951999999998,13.315259,23.399326000000002,91.720001,15.38,20.131222,18.97719,21.72261,77.737,19.170588000000002,25.909565,23.90493,53.099667000000004,48.498764,21.428499,32.556606,36.539795
