DATE,COUPON EQUIVALENT
2014-06-01,3.3333333333333335e-05
2014-07-01,3.3333333333333335e-05
2014-08-01,2.4999999999999998e-05
2014-09-01,2.4999999999999998e-05
2014-10-01,1.6666666666666667e-05
2014-11-01,8.333333333333334e-06
2014-12-01,1.6666666666666667e-05
2015-01-01,3.3333333333333335e-05
2015-02-01,1.6666666666666667e-05
2015-03-01,1.6666666666666667e-05
2015-04-01,2.4999999999999998e-05
2015-05-01,8.333333333333334e-06
2015-06-01,8.333333333333334e-06
2015-07-01,8.333333333333334e-06
2015-08-01,6.666666666666667e-05
2015-09-01,6.666666666666667e-05
2015-10-01,-8.333333333333334e-06
2015-11-01,6.666666666666667e-05
2015-12-01,0.00018333333333333334
2016-01-01,0.00013333333333333334
2016-02-01,0.000275
2016-03-01,0.000275
2016-04-01,0.000175
2016-05-01,0.00018333333333333334
2016-06-01,0.00029166666666666664
2016-07-01,0.00021666666666666666
2016-08-01,0.00022500000000000002
2016-09-01,0.000275
2016-10-01,0.00023333333333333336
2016-11-01,0.00029166666666666664
2016-12-01,0.0004083333333333333
2017-01-01,0.00042500000000000003
2017-02-01,0.00044166666666666665
2017-03-01,0.00045000000000000004
2017-04-01,0.0006333333333333333
2017-05-01,0.0006666666666666666
2017-06-01,0.0008166666666666666
2017-07-01,0.0008583333333333333
2017-08-01,0.0008916666666666668
2017-09-01,0.0008416666666666667
2017-10-01,0.0008833333333333333
2017-11-01,0.0009583333333333333
2017-12-01,0.0010583333333333332
2018-01-01,0.0011583333333333333
2018-02-01,0.001225
2018-03-01,0.0013833333333333334
2018-04-01,0.0014416666666666666
2018-05-01,0.0015583333333333334
2018-06-01,0.0016083333333333331
2018-07-01,0.0016083333333333331
2018-08-01,0.0016916666666666666
2018-09-01,0.001758333333333333
2018-10-01,0.001825
2018-11-01,0.0019499999999999997
2018-12-01,0.001975
2019-01-01,0.002041666666666667
2019-02-01,0.0020083333333333333
2019-03-01,0.002041666666666667
2019-04-01,0.002
2019-05-01,0.0020250000000000003
