Date,XLB,IYM,IGE,VAW,PKB,XHB,ITB,GDX,XME,MXI,PYZ,SLX,RTM,UYM,SMN,FXZ,MOO,CUT,WOOD,HAP,PSAU,PAGG,FLM,GRES,GDXJ,CHIM,FTRI,FTAG,SBM,PSCM,SIL,COPX,LIT,GNR,REMX,GOEX,URA,NUGT,DUST,CROP,SOIL,GUNR,PICK,RING,SLVP,VEGI,SILJ,JNUG,JDST,FMAT,SGDM,GDXX,GDXS,HOML,SGDJ,NAIL,NANR,VOX,ERUS,IYZ,FCOM,IXP,XTL,WBIF,FONE,LTL
2016-12-30,47.651951000000004,80.328972,34.382754999999996,108.03015900000001,27.686138,33.138145,27.204598999999998,20.643339,29.367159,52.436958,58.223091000000004,34.663078000000006,87.70687099999999,48.35154,42.523579,34.937523,49.75478,23.561235,51.748859,30.809374,17.247010999999997,24.012119000000002,48.002117,24.918058,31.386051000000002,12.81027,10.490416999999999,22.075926000000003,21.976614,46.932083,31.719677,19.187407,23.023386,38.736534000000006,14.743965,20.700001,12.551979,30.367661,48.0452,30.866657,8.758308999999999,26.981094,23.959446,16.940622,10.242600999999999,24.044014,11.828236,22.192669,139.112808,27.713425,18.758739000000002,36.907391,21.35,24.174,31.714834000000003,24.917992,32.234077,93.98563399999999,30.860611,32.808956,28.958082,54.500393,66.82386,23.891924,40.320736,57.65310699999999
2017-01-06,48.534034999999996,81.864868,35.071365,110.10543100000001,27.755676,33.510146999999996,27.461992,22.093899,30.709494,53.536774,59.334061,35.672053999999996,89.844414,50.242661,40.966377,35.678596,50.56884,24.084395999999998,52.386063,31.456791,18.473335000000002,24.392796,48.909664,25.305077,35.216045,13.224112,10.535989,22.549326,21.7479,47.079578000000005,35.068466,20.511335,24.033846,39.650974,15.350712,22.940001000000002,13.975903,36.806881,37.516376,31.661886,8.963125,27.517704,24.676184,18.22625,11.33057,24.429338,13.381737,30.107259999999997,90.627495,28.241940000000003,20.280523000000002,42.032864000000004,18.200001,24.174,35.559360999999996,25.557245,33.158348,95.665474,31.357769,33.959648,29.481315999999996,55.753384,67.90320600000001,24.294082999999997,40.466621,62.363979
2017-01-13,48.773731,82.386475,34.516655,110.835632,27.954357,33.637421,27.77879,22.43927,31.308228999999997,55.162575,59.176762,37.625809000000004,90.441399,50.813934,40.427345,36.058876,50.995255,24.350732999999998,52.98465699999999,31.694809000000003,18.944244,24.773476000000002,49.280487,25.483701999999997,36.469498,14.108227,10.581559,22.752213,21.7479,46.922253000000005,36.164974,22.276579,25.006531,40.452293,15.957459,23.6,16.521407999999997,38.555801,35.797993,31.504803000000003,9.128928,27.997826,26.44475,18.473488,11.654021,24.660529999999998,13.961842,33.289004999999996,81.152443,28.443733,20.907141,43.501568,17.610001,23.16,36.607864,26.414488000000002,33.283512,95.177475,31.27491,33.816998,29.400121999999996,55.883324,67.961037,24.217760000000002,41.001503,60.512253
2017-01-20,48.984673,82.62796,34.583599,111.02777900000001,27.775543,33.49057,27.511494,22.814245,31.665540999999997,55.535553,58.832648999999996,37.818432,90.865059,51.12912,40.207741,36.107632,51.625183,24.265125,52.463303,31.780496999999997,19.287613,24.802759,48.870632,25.37454,36.817679999999996,14.390391000000001,10.51776,22.703907,21.280525,46.312611,36.708286,21.883236,25.015976000000002,40.687969,15.914123000000002,23.75,15.614389000000001,40.304726,33.890884,31.288815999999997,9.206953,28.101381,26.565759999999997,18.789948000000003,11.781442,24.997684,14.138823,34.04467,77.941231,28.491778999999998,21.125958999999998,44.710499,16.988001,23.16,36.737682,25.500292,33.350903,94.961624,30.575205,33.446121000000005,29.327951000000002,56.041107,67.305717,24.07099,40.544422,59.01551800000001
2017-01-27,50.633789,85.197411,34.650543,114.813255,29.027231,34.371646999999996,29.045961,22.912922000000002,32.486397,57.123104000000005,60.14025899999999,38.983349,93.753632,54.359779,37.692261,37.219231,52.041908,24.988037,53.834258999999996,32.189892,19.326859,24.792997,49.895271,25.950108,36.67841,15.396779,10.672701,23.573418,21.280525,47.453224,36.905857,23.456606,25.516485,41.121624,16.598879,23.860001,17.23337,40.543209000000004,33.006863,31.652069,9.411769,28.440292,27.719984000000004,18.91851,11.928464,25.026585,14.119157999999999,33.289004999999996,77.743011,29.491153999999998,21.175692,44.920311,16.75,26.677,36.557938,29.818914000000003,33.447186,94.905312,31.993027,33.988178000000005,29.219697999999998,55.224339,68.52964,24.305827999999998,41.798973,61.55805600000001
2017-02-03,49.933876,84.521248,34.421021,113.64110600000001,28.610003000000003,33.882168,28.808363,24.175997,32.409141999999996,56.501472,59.973125,37.570774,92.627075,53.404368999999996,38.291187,36.887707,52.555542,24.769262,53.177746,32.208935,20.435454999999997,24.812521,50.109955,26.019571,39.055988,16.045755,10.490416999999999,23.467146,21.280525,46.932083,38.703732,23.485384,25.422048999999998,40.76339,16.832911,25.17,15.975245000000001,47.260666,27.831847999999997,32.18222,9.411769,28.364981,27.096331,19.966793,12.48715,25.18071,15.033560000000001,40.050213,64.025986,29.183657,22.001236,50.095737,14.97,26.677,38.245533,28.653336,33.658997,92.549812,31.643172999999997,32.856506,28.425835,54.704581999999995,68.442902,24.384106,42.508911,56.53054399999999
2017-02-10,49.953053000000004,85.013878,34.325375,114.11188500000002,28.818619,34.46954,29.352853999999997,24.955548999999998,33.17205,56.903144999999995,61.831299,39.634598,92.569321,54.093838,37.732189,37.131477000000004,52.797825,24.873892,53.97908,32.427914,21.063332,24.753951999999998,49.748894,26.476057,41.592739,15.801212,10.545102,23.457481,21.280525,47.030407000000004,39.790359,24.703785,25.270951999999998,40.867092,16.616215,26.59,17.39917,51.553478000000005,25.010916,32.408024,9.363004,28.619165000000002,27.803757,20.748058,12.849807,25.122913,15.367857999999998,47.487536999999996,50.150383000000005,29.308578000000004,22.876510999999997,53.043137,13.98,25.49,39.793327000000005,30.813629,33.986346999999995,92.371498,31.210464,32.590233000000005,28.461914,54.880928000000004,69.580078,24.677656,42.713135,55.17773100000001
2017-02-17,50.144814000000004,85.776985,33.722836,114.774826,28.649735999999997,34.655556,29.253853000000003,24.462162,33.056164,57.094414,62.961948,40.616062,92.299713,55.118198,37.29298,37.180237,52.652457999999996,25.083157,54.645252,32.266056,20.621859,25.232244,50.148994,26.20812,41.035647999999995,15.763593,10.399277,23.602401999999998,20.614264000000002,46.932083,38.723492,23.725227,24.968757999999998,40.89537,17.300972,26.57,17.564968,48.612106,26.391584,32.574923999999996,9.314238000000001,28.459121999999997,27.878223,20.401928,12.536159,25.20961,14.915573,45.498946999999994,52.053329,29.433496,21.93161,51.044899,14.49,25.309998999999998,38.555092,31.161240000000003,33.348984,92.57798000000001,30.510757,32.561707,28.516045000000002,54.750992000000004,70.852165,24.932062,42.965996000000004,55.273681999999994
2017-02-24,50.269447,85.73835799999999,33.05336,114.51543400000001,28.321917,35.076508000000004,29.768642,23.810886,31.221322999999998,56.291073,61.388881999999995,39.038383,91.77977800000001,54.89165500000001,37.173195,36.868202000000004,51.954685,24.940475,54.500431000000006,31.809057,20.121515,24.607534,49.631794,25.989803,39.881676,16.196245,10.29902,23.225610999999997,20.62421,45.771812,37.814674,23.053669,24.685451999999998,40.103485,17.257635,25.52,16.316595,44.756527,28.566878999999997,32.437481,8.992385,27.969585,26.696074,19.867901,12.232311,24.978417999999998,14.561611,41.601315,56.810677,29.404675,21.474080999999998,48.257362,15.29,25.719998999999998,37.266926,31.685602000000003,32.503654,93.150414,29.838676,32.190815,28.678427000000003,55.530632,69.628273,25.000557,43.33556,54.467743000000006
2017-03-03,50.489971000000004,86.018478,33.244637,115.18796499999999,28.987496999999998,35.977154,30.887318,21.906412,30.835034999999998,56.54929,62.106586,39.38694,92.50190699999999,55.187144999999994,36.813843,37.258244,52.187279,25.178276,55.504513,31.809057,18.571444,24.548973,50.23682,25.771482000000002,35.345366999999996,16.327923000000002,10.326363,23.583078,20.62421,47.030407000000004,34.762229999999995,22.928951,24.921541,40.2826,16.572878,22.780001000000002,15.58513,34.064246999999995,35.748329,32.339302,8.982631,28.02607,27.114944,18.22625,11.154142,25.026585,12.958949,26.726653999999996,74.809311,29.558421999999997,19.634014,40.654078999999996,17.813,28.68,33.492302,36.181953,32.118542,91.320442,29.52565,31.449051,28.155195000000003,54.936615,68.144142,25.186472,43.77319,51.06171
