"Global X Fertilizers/Potash ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
10/1/15,--,--,--,-0.03,-0.35
9/30/15,--,--,--,-0.04,-0.42
9/29/15,--,--,--,-0.04,-0.44
9/28/15,--,--,--,-0.09,-0.92
9/25/15,--,--,--,-0.03,-0.33
9/24/15,--,--,--,-0.01,-0.15
9/23/15,--,--,--,-0.02,-0.18
9/22/15,--,--,--,-0.04,-0.42
9/21/15,--,--,--,-0.02,-0.19
9/18/15,--,--,--,-0.12,-1.11
9/17/15,--,--,--,0.01,0.05
9/16/15,--,--,--,-0.02,-0.21
9/15/15,--,--,--,0.01,0.13
9/14/15,--,--,--,-0.01,-0.13
9/11/15,--,--,--,0.01,0.14
9/10/15,--,--,--,0.01,0.07
9/9/15,--,--,--,-0.10,-0.98
9/8/15,--,--,--,-0.01,-0.05
9/4/15,--,--,--,-0.07,-0.70
9/3/15,--,--,--,-0.06,-0.55
9/2/15,--,--,--,0.01,0.11
9/1/15,--,--,--,-0.09,-0.83
8/31/15,--,--,--,-0.02,-0.18
8/28/15,--,--,--,-0.02,-0.18
8/27/15,--,--,--,-0.03,-0.30
8/26/15,--,--,--,0.05,0.48
8/25/15,--,--,--,-0.07,-0.65
8/24/15,--,--,--,-0.02,-0.18
8/21/15,--,--,--,-0.07,-0.70
8/20/15,--,--,--,-0.07,-0.60
8/19/15,--,--,--,0.00,-0.03
8/18/15,--,--,--,-0.01,-0.08
8/17/15,--,--,--,0.01,0.10
8/14/15,--,--,--,0.00,-0.01
8/13/15,--,--,--,-0.03,-0.30
8/12/15,--,--,--,0.01,0.12
8/11/15,--,--,--,-0.04,-0.32
8/10/15,--,--,--,0.02,0.14
8/7/15,--,--,--,-0.04,-0.34
8/6/15,--,--,--,-0.06,-0.55
8/5/15,--,--,--,-0.04,-0.37
8/4/15,--,--,--,-0.07,-0.60
8/3/15,--,--,--,-0.05,-0.47
7/31/15,--,--,--,-0.04,-0.35
7/30/15,--,--,--,0.01,0.05
7/29/15,--,--,--,0.01,0.12
7/28/15,--,--,--,0.00,0.02
7/27/15,--,--,--,-0.03,-0.28
7/24/15,--,--,--,-0.07,-0.64
7/23/15,--,--,--,-0.05,-0.45
7/22/15,--,--,--,-0.03,-0.31
7/21/15,--,--,--,-0.06,-0.53
