"Global X Gold Explorers ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
10/06/2016,32.98,-1.45,-4.21,-0.22,-0.65
10/05/2016,34.43,0.20,0.58,-0.33,-0.96
10/04/2016,34.23,-3.41,-9.06,-0.48,-1.39
10/03/2016,37.64,-0.78,-2.03,0.07,0.18
09/30/2016,38.42,-0.14,-0.36,0.00,-0.01
09/29/2016,38.56,-0.42,-1.08,-0.10,-0.27
09/28/2016,38.98,0.95,2.50,0.29,0.74
09/27/2016,38.03,-1.25,-3.18,0.11,0.29
09/26/2016,39.28,-0.79,-1.97,-0.35,-0.88
09/23/2016,40.07,-1.25,-3.03,-0.12,-0.30
09/22/2016,41.32,-0.23,-0.55,-0.22,-0.52
09/21/2016,41.55,2.61,6.70,0.50,1.21
09/20/2016,38.94,0.06,0.15,-0.30,-0.76
09/19/2016,38.88,0.04,0.10,-0.07,-0.19
09/16/2016,38.84,-0.97,-2.44,-0.03,-0.09
09/15/2016,39.81,0.26,0.66,0.03,0.06
09/14/2016,39.55,0.35,0.89,-0.14,-0.36
09/13/2016,39.2,-1.49,-3.66,-0.06,-0.16
09/12/2016,40.69,1.20,3.04,0.09,0.23
09/09/2016,39.49,-2.11,-5.07,-0.15,-0.37
09/08/2016,41.6,-0.81,-1.91,-0.24,-0.57
09/07/2016,42.41,-0.59,-1.37,-0.02,-0.06
09/06/2016,43,2.42,5.96,0.08,0.18
09/02/2016,40.58,2.40,6.29,0.11,0.28
09/01/2016,38.18,1.20,3.24,-0.02,-0.05
08/31/2016,36.98,-0.68,-1.81,-0.42,-1.11
08/30/2016,37.66,-2.20,-5.52,-0.15,-0.38
08/29/2016,39.86,-0.27,-0.67,0.04,0.09
08/26/2016,40.13,0.55,1.39,-0.22,-0.54
08/25/2016,39.58,1.11,2.89,-0.16,-0.40
08/24/2016,38.47,-3.30,-7.90,0.01,0.04
08/23/2016,41.77,-0.87,-2.04,-0.04,-0.09
08/22/2016,42.64,-1.39,-3.16,0.29,0.67
08/19/2016,44.03,-1.17,-2.59,0.20,0.45
08/18/2016,45.2,0.90,2.03,0.37,0.82
08/17/2016,44.3,-1.09,-2.40,0.37,0.84
08/16/2016,45.39,0.59,1.32,0.42,0.94
08/15/2016,44.8,0.35,0.79,0.28,0.63
08/12/2016,44.45,0.08,0.18,0.29,0.65
08/11/2016,44.37,0.10,0.23,0.55,1.26
08/10/2016,44.27,1.14,2.64,0.24,0.54
08/09/2016,43.13,0.64,1.51,0.57,1.35
08/08/2016,42.49,-0.04,-0.09,0.43,1.03
08/05/2016,42.53,-2.08,-4.66,0.10,0.23
08/04/2016,44.61,0.46,1.04,0.58,1.31
08/03/2016,44.15,-0.59,-1.32,0.35,0.80
08/02/2016,44.74,-0.21,-0.47,0.06,0.13
08/01/2016,44.95,0.67,1.51,0.72,1.62
07/29/2016,44.28,1.67,3.92,0.24,0.54
07/28/2016,42.61,0.47,1.12,0.43,1.02
07/27/2016,42.14,2.19,5.48,0.41,0.99
07/26/2016,39.95,0.95,2.44,0.45,1.14
07/25/2016,39,-1.73,-4.25,0.15,0.38
07/22/2016,40.73,-0.05,-0.12,0.41,1.02
07/21/2016,40.78,1.28,3.24,0.23,0.57
07/20/2016,39.5,-3.22,-7.54,0.10,0.25
07/19/2016,42.72,-0.84,-1.93,0.47,1.10
07/18/2016,43.56,-0.34,-0.77,0.56,1.31
07/15/2016,43.9,-0.88,-1.97,0.42,0.98
07/14/2016,44.78,0.02,0.04,0.53,1.20
07/13/2016,44.76,1.56,3.61,0.14,0.31
07/12/2016,43.2,-1.41,-3.16,0.26,0.60
07/11/2016,44.61,1.86,4.35,0.12,0.26
07/08/2016,42.75,0.18,0.42,0.67,1.60
07/07/2016,42.57,-1.91,-4.29,0.16,0.37
07/06/2016,44.48,1.91,4.49,0.54,1.24
07/05/2016,42.57,1.62,3.96,0.34,0.82
07/01/2016,40.95,1.50,3.80,1.16,2.92
06/30/2016,39.45,0.18,0.46,0.56,1.43
06/29/2016,39.27,1.32,3.48,0.38,0.98
06/28/2016,37.95,0.40,1.07,0.58,1.56
06/27/2016,37.55,0.10,0.27,0.28,0.76
06/24/2016,37.45,1.95,5.49,0.32,0.88
06/23/2016,35.5,-0.05,-0.14,0.16,0.46
06/22/2016,35.55,0.36,1.02,0.40,1.13
06/21/2016,35.19,-0.71,-1.98,0.34,0.97
06/20/2016,35.9,35.90,0.00,0.36,1.01
06/17/2016,0,-35.20,-100.00,0.00,0.00
06/16/2016,35.2,-1.42,-3.88,0.42,1.19
06/15/2016,36.62,0.90,2.52,0.27,0.73
06/14/2016,35.72,-0.99,-2.70,0.25,0.70
06/13/2016,36.71,0.03,0.08,0.18,0.48
06/10/2016,36.68,0.12,0.33,0.21,0.57
06/09/2016,36.56,0.59,1.64,0.28,0.77
06/08/2016,35.97,1.45,4.20,0.26,0.72
06/07/2016,34.52,-0.16,-0.46,0.02,0.05
06/06/2016,34.68,1.15,3.43,-0.05,-0.16
06/03/2016,33.53,3.08,10.11,0.10,0.29
06/02/2016,30.45,-0.37,-1.20,-0.05,-0.15
06/01/2016,30.82,0.18,0.59,-0.04,-0.14
05/31/2016,30.64,0.49,1.63,-0.18,-0.57
05/27/2016,30.15,-1.83,-5.72,-0.11,-0.36
05/26/2016,31.98,0.15,0.47,-0.04,-0.12
05/25/2016,31.83,0.43,1.37,0.16,0.50
05/24/2016,31.4,-2.37,-7.02,0.06,0.19
05/23/2016,33.77,-0.05,-0.15,-0.08,-0.24
05/20/2016,33.82,-0.16,-0.47,0.16,0.46
05/19/2016,33.98,0.45,1.34,0.31,0.93
05/18/2016,33.53,-2.20,-6.16,0.06,0.19
05/17/2016,35.73,0.50,1.42,0.27,0.77
05/16/2016,35.23,0.68,1.97,0.15,0.44
05/13/2016,34.55,-0.15,-0.43,0.10,0.29
05/12/2016,34.7,0.29,0.84,0.17,0.48
05/11/2016,34.41,0.97,2.90,0.24,0.71
05/10/2016,33.44,0.58,1.77,0.32,0.96
05/09/2016,32.86,-1.58,-4.59,-0.11,-0.34
05/06/2016,34.44,1.33,4.02,0.26,0.76
05/05/2016,33.11,0.71,2.19,0.07,0.21
05/04/2016,32.4,-2.10,-6.09,-0.10,-0.30
05/03/2016,34.5,-1.73,-4.78,0.09,0.25
05/02/2016,36.23,-0.24,-0.66,0.33,0.93
04/29/2016,36.47,2.55,7.52,0.35,0.97
04/28/2016,33.92,1.33,4.08,0.30,0.88
04/27/2016,32.59,0.64,2.00,0.32,0.99
04/26/2016,31.95,0.98,3.16,0.20,0.64
04/25/2016,30.97,-0.39,-1.24,0.18,0.58
04/22/2016,31.36,-1.02,-3.15,0.21,0.68
04/21/2016,32.38,0.51,1.60,0.20,0.61
04/20/2016,31.87,-1.10,-3.34,0.00,0.01
04/19/2016,32.97,1.27,4.01,0.09,0.28
04/18/2016,31.7,2.36,8.04,0.46,1.46
04/15/2016,29.34,1.42,5.09,0.25,0.87
04/14/2016,27.92,-0.22,-0.78,0.21,0.75
04/13/2016,28.14,-0.98,-3.37,0.25,0.90
04/12/2016,29.12,1.39,5.01,0.62,2.16
04/11/2016,27.73,2.40,9.47,0.30,1.10
04/08/2016,25.33,1.05,4.32,0.21,0.82
04/07/2016,24.28,0.75,3.19,0.27,1.13
04/06/2016,23.53,0.18,0.77,0.22,0.93
04/05/2016,23.35,0.77,3.41,0.23,0.98
04/04/2016,22.58,22.58,0.00,0.22,0.99
04/01/2016,0,-22.82,-100.00,0.00,0.00
03/31/2016,22.82,22.82,0.00,0.09,0.40
03/30/2016,0,-23.20,-100.00,0.00,0.00
03/29/2016,23.2,1.11,5.02,0.37,1.64
03/28/2016,22.09,-0.18,-0.81,0.24,1.09
03/24/2016,22.27,-0.30,-1.33,0.24,1.07
03/23/2016,22.57,-1.28,-5.37,0.19,0.87
03/22/2016,23.85,0.15,0.63,0.22,0.93
03/21/2016,23.7,-0.11,-0.46,0.09,0.38
03/18/2016,23.81,0.00,0.00,0.06,0.25
03/17/2016,23.81,0.10,0.42,0.08,0.35
03/16/2016,23.71,1.58,7.14,0.53,2.27
03/15/2016,22.13,-0.24,-1.07,0.15,0.67
03/14/2016,22.37,-0.62,-2.70,0.18,0.80
03/11/2016,22.99,-0.45,-1.92,0.08,0.35
03/10/2016,23.44,0.60,2.63,0.15,0.66
03/09/2016,22.84,-0.01,-0.04,0.22,0.97
03/08/2016,22.85,-1.05,-4.39,0.08,0.35
03/07/2016,23.9,0.73,3.15,0.25,1.07
03/04/2016,23.17,0.21,0.91,0.44,1.93
03/03/2016,22.96,1.34,6.20,0.31,1.36
03/02/2016,21.62,0.40,1.89,0.22,1.01
03/01/2016,21.22,-0.46,-2.12,0.33,1.59
02/29/2016,21.68,0.52,2.46,0.22,1.04
02/26/2016,21.16,-0.33,-1.54,0.07,0.35
02/25/2016,21.49,0.27,1.27,0.19,0.90
02/24/2016,21.22,0.41,1.97,0.32,1.53
02/23/2016,20.81,0.33,1.61,0.14,0.70
02/22/2016,20.48,-0.37,-1.77,0.00,0.01
02/19/2016,20.85,-0.13,-0.62,0.23,1.10
02/18/2016,20.98,0.98,4.90,-0.03,-0.13
02/17/2016,20,0.51,2.62,0.14,0.69
02/16/2016,19.49,-0.96,-4.69,0.11,0.59
02/12/2016,20.45,0.23,1.14,0.18,0.90
02/11/2016,20.22,1.26,6.65,0.21,1.07
02/10/2016,18.96,0.16,0.85,0.20,1.09
02/09/2016,18.8,-0.43,-2.24,0.00,0.01
02/08/2016,19.23,0.80,4.34,0.13,0.68
02/05/2016,18.43,0.25,1.38,-0.01,-0.05
02/04/2016,18.18,0.55,3.12,0.22,1.23
02/03/2016,17.63,1.00,6.01,0.19,1.10
02/02/2016,16.63,-0.16,-0.95,0.11,0.68
02/01/2016,16.79,0.66,4.09,0.17,1.03
01/29/2016,16.13,0.09,0.56,0.00,0.02
01/28/2016,16.04,-0.21,-1.29,0.08,0.52
01/27/2016,16.25,0.20,1.25,0.06,0.36
01/26/2016,16.05,0.77,5.04,-0.02,-0.11
01/25/2016,15.28,-0.08,-0.52,-0.01,-0.07
01/22/2016,15.36,0.25,1.65,0.07,0.43
01/21/2016,15.11,0.23,1.55,0.16,1.08
01/20/2016,14.88,-0.08,-0.53,0.05,0.32
01/19/2016,14.96,-0.96,-6.03,0.12,0.78
01/15/2016,15.92,-0.01,-0.06,-0.01,-0.05
01/14/2016,15.93,-0.69,-4.15,0.05,0.33
01/13/2016,16.62,-0.07,-0.42,0.00,0.03
01/12/2016,16.69,-0.63,-3.64,0.18,1.08
01/11/2016,17.32,-0.87,-4.78,0.21,1.21
01/08/2016,18.19,-0.07,-0.38,0.25,1.39
01/07/2016,18.26,0.75,4.28,0.19,1.08
01/06/2016,17.51,0.33,1.92,0.19,1.08
01/05/2016,17.18,0.25,1.48,0.16,0.92
01/04/2016,16.93,0.00,0.00,0.16,0.95
12/31/15,--,--,--,0.19,1.19
12/30/15,--,--,--,0.27,1.63
12/29/15,--,--,--,0.15,0.89
12/28/15,--,--,--,-0.29,-1.53
12/24/15,--,--,--,0.16,0.84
12/23/15,--,--,--,0.19,1.02
12/22/15,--,--,--,-0.22,-1.17
12/21/15,--,--,--,0.02,0.10
12/18/15,--,--,--,0.25,1.40
12/17/15,--,--,--,0.07,0.38
12/16/15,--,--,--,0.20,1.08
12/15/15,--,--,--,0.27,1.49
12/14/15,--,--,--,0.07,0.38
12/11/15,--,--,--,-0.05,-0.28
12/10/15,--,--,--,0.03,0.19
12/9/15,--,--,--,0.09,0.49
12/8/15,--,--,--,0.14,0.77
12/7/15,--,--,--,0.13,0.70
12/4/15,--,--,--,-0.01,-0.06
12/3/15,--,--,--,0.36,1.93
12/2/15,--,--,--,0.32,1.77
12/1/15,--,--,--,0.18,1.00
11/30/15,--,--,--,0.11,0.59
11/27/15,--,--,--,0.11,0.61
11/25/15,--,--,--,0.31,1.71
