Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,28.913000,28.913000,28.913000,28.913000,28.391155,0
2016-01-04,28.000000,28.000000,25.062000,25.062000,24.609661,5000
2016-01-05,25.600000,25.600000,25.549999,25.549999,25.088852,2300
2016-01-06,25.010000,25.010000,23.990000,23.990000,23.557011,3100
2016-01-07,22.150000,22.150000,20.860001,20.860001,20.483503,600
2016-01-08,21.049999,21.049999,19.809999,19.855000,19.496643,3600
2016-01-11,20.290001,20.290001,19.534000,19.700001,19.344439,1000
2016-01-12,20.250999,20.250999,17.860001,17.860001,17.537649,800
2016-01-13,20.900000,21.128000,19.030001,19.260000,18.912380,3800
2016-01-14,19.260000,19.260000,19.260000,19.260000,18.912380,0
2016-01-15,18.270000,18.570000,16.790001,17.990000,17.665300,1500
2016-01-19,18.100000,18.100000,17.562000,17.562000,17.245028,1000
2016-01-20,15.990000,16.080000,15.186000,16.080000,15.789776,1400
2016-01-21,16.601999,17.879999,16.601999,17.412001,17.097734,500
2016-01-22,18.980000,18.980000,18.799999,18.839001,18.498980,700
2016-01-25,17.299999,17.549999,17.299999,17.549999,17.233244,300
2016-01-26,17.549999,17.549999,17.549999,17.549999,17.233244,0
2016-01-27,19.006001,19.006001,18.690001,18.719999,18.382130,2700
2016-01-28,18.510000,18.510000,18.306999,18.370001,18.038446,700
2016-01-29,18.629999,19.326000,18.629999,19.326000,18.977190,400
2016-02-01,19.326000,19.326000,19.326000,19.326000,18.977190,0
2016-02-02,19.326000,19.326000,19.326000,19.326000,18.977190,0
2016-02-03,19.326000,19.326000,19.326000,19.326000,18.977190,0
2016-02-04,17.160000,18.370001,17.160000,18.370001,18.038446,700
2016-02-05,17.160000,17.160000,16.691999,16.691999,16.390728,700
2016-02-08,15.010000,15.010000,15.010000,15.010000,14.739088,600
2016-02-09,15.010000,15.010000,15.010000,15.010000,14.739088,0
2016-02-10,15.010000,15.010000,15.010000,15.010000,14.739088,0
2016-02-11,14.190000,14.190000,14.190000,14.190000,13.933887,200
2016-02-12,15.210000,15.210000,15.210000,15.210000,14.935478,600
2016-02-16,15.750000,15.750000,15.750000,15.750000,15.465731,100
2016-02-17,17.316000,17.316000,16.900000,16.900000,16.594973,400
2016-02-18,16.900000,16.900000,16.900000,16.900000,16.594973,100
2016-02-19,16.900000,16.900000,16.900000,16.900000,16.594973,0
2016-02-22,16.900000,16.900000,16.900000,16.900000,16.594973,0
2016-02-23,16.900000,16.900000,16.900000,16.900000,16.594973,0
2016-02-24,16.731001,17.570000,16.731001,17.570000,17.252882,700
2016-02-25,17.570000,17.570000,17.570000,17.570000,17.252882,0
2016-02-26,17.570000,17.570000,17.570000,17.570000,17.252882,0
2016-02-29,17.570000,17.570000,17.570000,17.570000,17.252882,0
2016-03-01,17.570000,17.570000,17.570000,17.570000,17.252882,100
2016-03-02,21.200001,21.490000,21.200001,21.490000,21.102131,300
